Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
"Good Night, Mr. Tom",Michelle Magorian,,9780064401746,paperback,to-read,2023/09/16,,,0,,,,,,,,,,,,katherine-rundell-recommendation,No
How to Make Books,Esther K. Smith,,,,to-read,2015/12/05,,,0,,,,,,,,,,,,,No
Grass,Sheri S. Tepper,,9781857987980,paperback,did-not-finish,2015/04/04,,,0,,,,,,,,,,,,,No
The Star Fraction,Ken MacLeod,,,,to-read,2017/01/15,,,0,,,,,,,,,,,,,No
Mystery,Peter Straub,,9780525248187,hardcover,to-read,2022/09/09,,,0,,,,,,,,,,,,,No
Sand,Wolfgang Herrndorf,,,paperback,to-read,2019/04/06,,,0,,,,,,,,,,,,,No
The Demon-Haunted World: Science as a Candle in the Dark,"Ann Druyan, Carl Sagan",,,,to-read,2016/08/07,,,0,,,,,,,,,,,,,No
The Plague,Albert Camus,Stuart Gilbert,679720219,paperback,to-read,2020/08/03,,,0,,,,,,,,,,,,,No
The Way of Life According to Lao Tzu,Witter Bynner,,,,to-read,2016/10/03,,,0,,,,,,,,,,,,,No
Titus Groan,Mervyn Peake,,,paperback,did-not-finish,2021/10/05,,,0,,,,,,,,,,,,,No
Last Exit to Brooklyn,Hubert Selby Jr.,,9780747549925,paperback,to-read,2024/11/08,,,0,,,,,,,,,,,,,No
The Girl on the Train,Paula Hawkins,,9781594633669,hardcover,to-read,2015/01/26,,,0,,,,,,,,,,,,,No
Galápagos,Kurt Vonnegut,,,paperback,to-read,2015/04/04,,,0,,,,,,,,,,,,,No
A Burning,Megha Majumdar,,9780771059834,hardcover,to-read,2021/01/19,,,0,,,,,,,,,,,,,No
Carrie,Stephen King,,9781416524304,paperback,to-read,2024/10/20,,,0,,,,,,,,,,,,,No
The Falling Woman,Pat Murphy,,,,to-read,2015/04/04,,,0,,,,,,,,,,,,,No
American Dirt,Jeanine Cummins,,9781250209764,hardcover,to-read,2020/02/02,,,0,,,,,,,,,,,,,No
"The Gulag Archipelago, Abridged Edition",Aleksandr Solzhenitsyn,,9780060007768,paperback,to-read,2013/04/01,,,0,,,,,,,,,,,,,No
Prophet Song,Paul Lynch,,9780861546459,hardcover,to-read,2024/08/13,,,0,,,,,,,,,,,,,No
The Collectors,Philip Pullman,,9781101940044,digital,to-read,2016/07/12,,,0,,,,,,,,,,,,,No
The Knife of Never Letting Go,Patrick Ness,,9780763676186,paperback,to-read,2023/09/16,,,0,,,,,,,,,,,,katherine-rundell-recommendation,No
The Talisman,"Peter Straub, Stephen King",Frank Muller (Narrator),9781442359062,audio,to-read,2013/04/01,,,0,,,,,,,,,,,,,No
Just My Type: A Book About Fonts,Simon Garfield,,9781592406524,hardcover,to-read,2019/03/15,,,0,,,,,,,,,,,,,No
Schattwand : ein Bergdrama,Urs Augstburger,,,,to-read,2012/09/17,,,0,,,,,,,,,,,,,No
A Maze of Death,Philip K. Dick,,,digital,to-read,2012/06/04,,,0,,,,,,,,,,,,,No
La catedral del mar,Ildefonso Falcones,,,paperback,to-read,2019/01/10,,,0,,,,,,,,,,,,,No
Uprooted,Naomi Novik,,9780804179034,hardcover,to-read,2021/10/05,,,0,,,,,,,,,,,,,No
The New York Trilogy,Paul Auster,,,digital,to-read,2014/07/15,,,0,,,,,,,,,,,,,No
Complexity: A Guided Tour,Melanie Mitchell,,9780195124415,hardcover,to-read,2022/11/15,,,0,,,,,,,,,,,,,No
Raylan,Elmore Leonard,,,digital,to-read,2013/07/16,,,0,,,,,,,,,,,,,No
Glitz,Elmore Leonard,,,paperback,to-read,2013/07/16,,,0,,,,,,,,,,,,,No
"Design, Form, and Chaos",Paul Rand,,,,to-read,2015/11/14,,,0,,,,,,,,,,,,,No
The Underground Railroad,Colson Whitehead,,9780385542364,hardcover,currently-reading,2019/06/23,,,0,,,,,,,,,,,,,No
The Stepford Wives,Ira Levin,,9780060080846,paperback,to-read,2022/09/13,,,0,,,,,,,,,,,,,No
Be Cool,Elmore Leonard,,9780141020488,paperback,to-read,2012/10/23,,,0,,,,,,,,,,,,,No
Always Coming Home,Ursula K. Le Guin,"Todd Barton, Margaret Chodos-Irvine",,,to-read,2015/04/04,,,0,,,,,,,,,,,,,No
Maximum Bob,Elmore Leonard,,,,to-read,2013/07/16,,,0,,,,,,,,,,,,,No
The Real World of Technology,Ursula Martius Franklin,,,,to-read,2016/07/24,,,0,,,,,,,,,,,,,No
Out of Sight,Elmore Leonard,,9780060084103,paperback,to-read,2013/07/16,,,0,,,,,,,,,,,,,No
The Day of the Jackal,Frederick Forsyth,,,,to-read,2011/12/16,,,0,,,,,,,,,,,,,No
The Memory Police,Yōko Ogawa,Stephen Snyder (Translator),9781101870600,hardcover,to-read,2024/04/10,,,0,,,,,,,,,,,,vera-kaeser-recommendation,No
The Raven Tower,Ann Leckie,,9780356506999,hardcover,to-read,2020/01/04,,,0,,,,,,,,,,,,,No
"Black Leopard, Red Wolf",Marlon James,,9780735220171,hardcover,did-not-finish,2019/02/25,,,0,,,,,,,,,,,,,No
Essays of E.B. White,E.B. White,,,,to-read,2015/11/14,,,0,,,,,,,,,,,,,No
Love Goes to Buildings on Fire: Five Years in New York That Changed Music Forever,Will Hermes,,,,to-read,2021/09/23,,,0,,,,,,,,,,,,,No
Charmed Life,Diana Wynne Jones,,9780007106530,paperback,to-read,2023/09/16,,,0,,,,,,,,,,,,,No
The Revenant: A Novel of Revenge,Michael Punke,,9781250066626,hardcover,to-read,2019/04/07,,,0,,,,,,,,,,,,,No
Clockwork,Philip Pullman,Leonid Gore (Illustrator),9780439856232,paperback,to-read,2021/03/27,,,0,,,,,,,,,,,,,No
A Temple of Texts,William H. Gass,,307262863,hardcover,to-read,2021/07/18,,,0,,,,,,,,,,,,jeff-tweedy-recommendation,No
Bloom,Wil McCarthy,,9780345408570,hardcover,did-not-finish,2017/01/15,,,0,,,,,,,,,,,,,No
The Dragonbone Chair,Tad Williams,,B00316UMPS,digital,to-read,2019/05/21,,,0,,,,,,,,,,,,,No
Orfeo,Richard Powers,,9780393349849,paperback,to-read,2020/08/06,,,0,,,,,,,,,,,,,No
Science and Sanity: An Introduction to Non-Aristotelian Systems and General Semantics,Alfred Korzybski,,,,to-read,2016/10/03,,,0,,,,,,,,,,,,,No
Das Foucaultsche Pendel,Umberto Eco,,,,to-read,2019/04/11,,,0,,,,,,,,,,,,,No
This Is the Way the World Ends,James Morrow,,9780575081215,digital,to-read,2015/04/04,,,0,,,,,,,,,,,,,No
Swag,Elmore Leonard,,,,to-read,2013/07/16,,,0,,,,,,,,,,,,,No
The Great Game: The Struggle for Empire in Central Asia,Peter Hopkirk,,,,to-read,2012/03/13,,,0,,,,,,,,,,,,,No
Arbeit und Struktur,Wolfgang Herrndorf,,9783499268519,paperback,to-read,2019/04/06,,,0,,,,,,,,,,,,,No
Pride and Prejudice,Jane Austen,,9780613640954,paperback,to-read,2012/10/23,,,0,,,,,,,,,,,,,No
Nonnonba,Shigeru Mizuki,,,,to-read,2016/04/03,,,0,,,,,,,,,,,,,No
Rum Punch,Elmore Leonard,,,,to-read,2013/07/16,,,0,,,,,,,,,,,,,No
The Princess Bride,William Goldman,,9780345418265,paperback,did-not-finish,2016/07/12,,,0,,,,,,,,,,,,,No
If This Is a Man • The Truce,Primo Levi,"Paul Bailey, Stuart J. Woolf",9780349100135,paperback,to-read,2012/07/13,,,0,,,,,,,,,,,,,No
Blue Mars,Kim Stanley Robinson,,9780606179935,hardcover,to-read,2021/07/18,,,0,,,,,,,,,,,,ian-banks-recommendation,No
The Wind Through the Keyhole,Stephen King,Jae Lee (Illustrator),9781444731705,hardcover,to-read,2013/04/01,,,0,,,,,,,,,,,,,No
The Nature of the Beast,Janni Howker,,,,to-read,2021/06/24,,,0,,,,,,,,,,,,pullman-recommendation,No
A Door Into Ocean,Joan Slonczewski,,,paperback,to-read,2015/04/04,,,0,,,,,,,,,,,,,No
Half of a Yellow Sun,Chimamanda Ngozi Adichie,,9781400044160,hardcover,to-read,2021/06/17,,,0,,,,,,,,,,,,,No
Off the Books: The Underground Economy of the Urban Poor,Sudhir Venkatesh,,,,did-not-finish,2012/06/12,,,0,,,,,,,,3.0,,,,,No
The Physician,Noah Gordon,,,paperback,to-read,2019/04/06,,,0,,,,,,,,,,,,,No
Moonbound,Robin Sloan,,9780374610609,hardcover,to-read,2024/06/13,,,0,,,,,,,,,,,,,No
Hurdy Gurdy,Christopher Wilson,,9780571361946,hardcover,to-read,2021/02/05,,,0,,,,,,,,,,,,,No
Stand on Zanzibar,John Brunner,,9781473206373,paperback,to-read,2021/07/18,,,0,,,,,,,,,,,,ian-banks-recommendation,No
